"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"Seychelles","Africa","2022-11-01 00:00:00+05:30","107135","85803","0","0.00","0.00","0.00"
"Sierra Leone","Africa","2021-10-01 00:00:00+05:30","8605723","603654","0","0.00","0.00","0.00"
"Sierra Leone","Africa","2021-12-01 00:00:00+05:30","8605723","292239","0","0.00","0.00","0.00"
"Singapore","Asia","2021-10-01 00:00:00+05:30","5637022","4827783","3481","1901.45","346.55","-1554.90"
"Singapore","Asia","2021-11-01 00:00:00+05:30","5637022","4828413","2396","1472.14","267.20","-1204.94"
"Singapore","Asia","2021-12-01 00:00:00+05:30","5637022","4828913","3099","1817.99","330.34","-1487.65"
"Singapore","Asia","2022-10-01 00:00:00+05:30","5637022","5153646","4719","2588.37","249.96","-2338.41"
"Singapore","Asia","2022-11-01 00:00:00+05:30","5637022","5153655","11732","4650.02","450.98","-4199.03"
"Singapore","Asia","2022-12-01 00:00:00+05:30","5637022","5153866","9611","3533.53","343.13","-3190.40"
"Sint Maarten (Dutch part)","North America","2021-10-01 00:00:00+05:30","44192","27030","4","2.45","1.55","-0.89"
"Sint Maarten (Dutch part)","North America","2021-12-01 00:00:00+05:30","44192","26640","0","0.00","0.00","0.00"
"Slovakia","Europe","2021-10-01 00:00:00+05:30","5643455","2487399","1162","512.16","649.84","137.68"
"Slovenia","Europe","2021-10-01 00:00:00+05:30","2119843","1238522","4483","1195.59","903.07","-292.52"
"Slovenia","Europe","2021-11-01 00:00:00+05:30","2119843","1238662","3573","999.96","747.04","-252.92"
"Slovenia","Europe","2021-12-01 00:00:00+05:30","2119843","1238683","3434","990.91","750.76","-240.15"
"Solomon Islands","Oceania","2021-12-01 00:00:00+05:30","724272","113423","0","0.00","0.00","0.00"
"Somalia","Africa","2022-11-01 00:00:00+05:30","17597508","6203372","0","0.00","0.00","0.00"
"South Africa","Africa","2021-10-01 00:00:00+05:30","59893884","18344024","22388","3461.16","7855.34","4394.17"
"South Africa","Africa","2021-11-01 00:00:00+05:30","59893884","13466577","648","145.70","502.30","356.61"
"South Africa","Africa","2021-12-01 00:00:00+05:30","59893884","18379697","17153","2679.92","6074.58","3394.65"
"South Africa","Africa","2022-10-01 00:00:00+05:30","59893884","22486686","528","65.88","110.12","44.23"
"South Africa","Africa","2022-11-01 00:00:00+05:30","59893884","22486951","598","74.38","124.96","50.58"
"South Africa","Africa","2022-12-01 00:00:00+05:30","59893884","22427526","1094","272.00","455.00","183.01"
"South Korea","Asia","2021-10-01 00:00:00+05:30","51815808","42701256","6976","2922.30","675.37","-2246.93"
"South Korea","Asia","2021-11-01 00:00:00+05:30","51815808","42727507","6689","2817.24","649.10","-2168.14"
"South Korea","Asia","2021-12-01 00:00:00+05:30","51815808","42729649","5814","2653.28","617.05","-2036.23"
"South Korea","Asia","2022-10-01 00:00:00+05:30","51815808","44770266","54519","35790.67","5636.66","-30154.01"
"South Korea","Asia","2022-11-01 00:00:00+05:30","51815808","44770270","54328","31820.57","5013.10","-26807.47"
"South Korea","Asia","2022-12-01 00:00:00+05:30","51815808","44770524","86852","46696.72","7353.28","-39343.43"
"South Sudan","Africa","2021-11-01 00:00:00+05:30","10913172","82889","0","0.00","0.00","0.00"
"South Sudan","Africa","2021-12-01 00:00:00+05:30","10913172","223920","18","0.37","17.63","17.26"
"Spain","Europe","2021-10-01 00:00:00+05:30","47558632","38130715","3446","2104.63","527.87","-1576.77"
"Spain","Europe","2021-11-01 00:00:00+05:30","47558632","38144625","3824","3067.06","756.94","-2310.11"
"Spain","Europe","2021-12-01 00:00:00+05:30","47558632","38514698","26233","10832.21","2548.29","-8283.92"
"Sri Lanka","Asia","2021-10-01 00:00:00+05:30","21832150","15825242","720","493.53","212.97","-280.56"
"Sri Lanka","Asia","2021-11-01 00:00:00+05:30","21832150","15952312","762","511.37","207.96","-303.40"
"Sri Lanka","Asia","2021-12-01 00:00:00+05:30","21832150","15955985","714","487.07","205.43","-281.64"
"Sri Lanka","Asia","2022-12-01 00:00:00+05:30","21832150","17132251","12","9.42","2.58","-6.83"
"Sudan","Africa","2022-12-01 00:00:00+05:30","46874200","10504568","0","0.00","0.00","0.00"
"Suriname","South America","2021-10-01 00:00:00+05:30","618046","259391","261","56.65","86.68","30.03"
"Suriname","South America","2021-11-01 00:00:00+05:30","618046","259712","82","22.05","31.45","9.39"
"Suriname","South America","2021-12-01 00:00:00+05:30","618046","253654","90","25.41","37.59","12.18"
"Sweden","Europe","2021-10-01 00:00:00+05:30","10549349","7062916","16","10.71","5.29","-5.42"
"Sweden","Europe","2021-12-01 00:00:00+05:30","10549349","7532787","2396","1710.87","685.13","-1025.74"
"Sweden","Europe","2022-11-01 00:00:00+05:30","10549349","7771297","998","735.19","262.81","-472.38"
"Switzerland","Europe","2021-10-01 00:00:00+05:30","8740471","5901358","10420","3306.52","1625.48","-1681.04"
"Switzerland","Europe","2021-11-01 00:00:00+05:30","8740471","5905463","9756","3176.79","1558.55","-1618.24"
"Switzerland","Europe","2021-12-01 00:00:00+05:30","8740471","5906443","6089","2497.32","1240.34","-1256.98"
"Switzerland","Europe","2022-10-01 00:00:00+05:30","8740471","6095037","3427","1809.07","785.59","-1023.48"
"Switzerland","Europe","2022-11-01 00:00:00+05:30","8740471","6095037","8212","2926.66","1271.34","-1655.31"
