"continent","country","total_cases_reported","total_population","population_infected_percentage"
"North America","Turks and Caicos Islands","6565","45726","14.36"
"Europe","Ukraine","5529459","39701744","13.93"
"North America","Saint Kitts and Nevis","6598","47681","13.84"
"Asia","Palestine","703228","5250076","13.39"
"South America","Suriname","82495","618046","13.35"
"South America","Peru","4501130","34049588","13.22"
"Africa","Mayotte","42027","326113","12.89"
"Africa","Botswana","329852","2630300","12.54"
"North America","Trinidad and Tobago","191350","1531043","12.50"
"Europe","Bosnia and Herzegovina","402848","3233530","12.46"
"South America","Colombia","6364636","51874028","12.27"
"North America","Canada","4659971","38454328","12.12"
"Asia","Vietnam","11561848","98186856","11.78"
"Europe","Albania","334090","2842318","11.75"
"Asia","United Arab Emirates","1062321","9441138","11.25"
"South America","Paraguay","735759","6780745","10.85"
"Africa","Cape Verde","63473","593162","10.70"
"Europe","Belarus","994037","9534956","10.43"
"North America","Cuba","1113088","11212198","9.93"
"South America","Bolivia","1197239","12224114","9.79"
"North America","Antigua and Barbuda","9106","93772","9.71"
NULL,"Upper middle income","243611501","2525921300","9.64"
NULL,"World","765222168","7975105024","9.60"
"Africa","Tunisia","1152612","12356116","9.33"
"North America","Bahamas","38084","409989","9.29"
"North America","Saint Vincent and the Grenadines","9611","103959","9.24"
"South America","Guyana","73162","808727","9.05"
"Asia","Oman","399449","4576300","8.73"
"Asia","Iran","7607744","88550568","8.59"
"Oceania","Pitcairn","4","47","8.51"
"Asia","Azerbaijan","831386","10358078","8.03"
"Asia","Bhutan","62666","782457","8.01"
"Asia","Kazakhstan","1502667","19397998","7.75"
"Oceania","Samoa","16737","222390","7.53"
"Africa","Libya","507250","6812344","7.45"
"Oceania","Fiji","68918","929769","7.41"
"North America","Guatemala","1248171","17843914","6.99"
"Asia","China","99248443","1425887360","6.96"
"Africa","South Africa","4072533","59893884","6.80"
"Africa","Namibia","171222","2567024","6.67"
"Asia","Thailand","4732301","71697024","6.60"
NULL,"Asia","296700314","4721383370","6.28"
"Africa","Eswatini","74627","1201680","6.21"
"North America","Mexico","7587447","127504120","5.95"
"South America","Ecuador","1061100","18001002","5.89"
"North America","Dominican Republic","661045","11228821","5.89"
"Asia","Iraq","2465545","44496124","5.54"
"North America","Jamaica","154786","2827382","5.47"
"North America","Honduras","472533","10432858","4.53"
"Oceania","Kiribati","5025","131237","3.83"
"Oceania","Vanuatu","12016","326744","3.68"
"Asia","Philippines","4092158","115559008","3.54"
"Africa","Morocco","1273463","37457976","3.40"
"Oceania","Solomon Islands","24575","724272","3.39"
"Asia","Nepal","1003004","30547586","3.28"
"Europe","Vatican","26","808","3.22"
"North America","El Salvador","201785","6336393","3.18"
"Asia","India","44952996","1417173120","3.17"
"Asia","Kyrgyzstan","206888","6630621","3.12"
"Asia","Sri Lanka","672177","21832150","3.08"
"Asia","Laos","218077","7529477","2.90"
"Africa","Sao Tome and Principe","6562","227393","2.89"
NULL,"Lower middle income","97402870","3432097300","2.84"
"Asia","Indonesia","6776984","275501344","2.46"
"Asia","Saudi Arabia","840337","36408824","2.31"
"Africa","Gabon","48981","2388997","2.05"
"South America","Venezuela","552578","28301700","1.95"
"Asia","Timor","23428","1341298","1.75"
"Africa","Zambia","343910","20017670","1.72"
"Africa","Zimbabwe","264685","16320539","1.62"
"Africa","Lesotho","34490","2305826","1.50"
"Africa","Djibouti","15690","1120851","1.40"
"Africa","Mauritania","63617","4736146","1.34"
"Asia","Bangladesh","2038250","171186368","1.19"
"Asia","Myanmar","635102","54179312","1.17"
"Africa","Comoros","9109","836783","1.09"
"Africa","Equatorial Guinea","17130","1674916","1.02"
"Africa","Rwanda","133194","13776702","0.97"
NULL,"Africa","13081409","1426736614","0.92"
"Asia","Cambodia","138733","16767851","0.83"
"Asia","Uzbekistan","253009","34627648","0.73"
"Africa","Mozambique","233417","32969520","0.71"
"Asia","Pakistan","1580631","235824864","0.67"
"Africa","Kenya","343060","54027484","0.63"
"Africa","Algeria","271719","44903228","0.61"
"Asia","Afghanistan","214880","41128772","0.52"
"Africa","Senegal","88997","17316452","0.51"
"Africa","Ghana","171653","33475870","0.51"
"Africa","Gambia","12626","2705995","0.47"
"Oceania","Papua New Guinea","46842","10142625","0.46"
"Africa","Egypt","515970","110990096","0.46"
"Africa","Cameroon","124983","27914542","0.45"
"Africa","Togo","39487","8848700","0.45"
"Africa","Guinea-Bissau","9350","2105580","0.44"
"Africa","Malawi","88638","20405318","0.43"
"Africa","Burundi","53740","12889583","0.42"
"Africa","Congo","25192","5970430","0.42"
"Africa","Ethiopia","500837","123379928","0.41"
"Africa","Uganda","170602","47249588","0.36"
"Africa","Cote d'Ivoire","88325","28160548","0.31"
NULL,"Low income","2296595","737604900","0.31"
"Africa","Angola","105384","35588996","0.30"
"North America","Haiti","34228","11585003","0.30"
"Africa","Eritrea","10189","3684041","0.28"
"Africa","Central African Republic","15367","5579148","0.28"
"Africa","Guinea","38462","13859349","0.28"
"Oceania","Tokelau","5","1893","0.26"
"Asia","Syria","57423","22125242","0.26"
"Africa","Madagascar","68236","29611718","0.23"
"North America","Nicaragua","15697","6948395","0.23"
"Africa","Benin","28014","13352864","0.21"
"Asia","Tajikistan","17786","9952789","0.18"
"Africa","South Sudan","18368","10913172","0.17"
"Africa","Somalia","27334","17597508","0.16"
"Africa","Liberia","8090","5302690","0.15"
"Africa","Mali","33144","22593598","0.15"
"Africa","Sudan","63993","46874200","0.14"
"Africa","Nigeria","266675","218541216","0.12"
"Africa","Burkina Faso","22056","22673764","0.10"
"Africa","Democratic Republic of Congo","96212","99010216","0.10"
"Africa","Sierra Leone","7762","8605723","0.09"
"Africa","Tanzania","42973","65497752","0.07"
"Asia","Yemen","11945","33696612","0.04"
"Africa","Chad","7820","17723312","0.04"
"Africa","Niger","9513","26207982","0.04"
"Asia","Northern Cyprus",NULL,"382836",NULL
"Europe","Scotland",NULL,"5466000",NULL
"Europe","England",NULL,"56550000",NULL
"Asia","Turkmenistan",NULL,"6430777",NULL
"Europe","Wales",NULL,"3170000",NULL
"Asia","Taiwan",NULL,"23893396",NULL
"Asia","Hong Kong",NULL,"7488863",NULL
"Asia","North Korea",NULL,"26069416",NULL
"Europe","Northern Ireland",NULL,"1896000",NULL
"Asia","Macao",NULL,"695180",NULL
"Africa","Western Sahara",NULL,"576005",NULL
